facebook_corpus_msr_1723796,Well said sonu..you have the courage to stand against Muslims dadagiri,OAG
facebook_corpus_msr_466073,"Most ATMs like HDFC, ICICI, etc. are short of money Only ATMs in public sector banks operate",NAG
facebook_corpus_msr_1493901,"Now the question is, will Pakistan adhere to that?",OAG
facebook_corpus_msr_405512,Pakistan is made up of fake Muslims who do not know the sense of unity and who impose their thoughts on others ..... all rogues have gathered there ...,OAG
facebook_corpus_msr_1521685,"We are opposed to slaughtering cows, and of course that will stop the manufacture of the leather.",NAG
facebook_corpus_msr_462570,You wonder why an educated ambassador is struggling to pay with a credit / debit at a decent restaurant! I can not imagine that the diplomat of a developed country does not have a map and he needs money for dinner,CAG
facebook_corpus_msr_465051,How does inflation react to all subsequent shocks of this demon ...?,NAG
facebook_corpus_msr_450994,Not good job ..... this guis creating a problem n our company,CAG
facebook_corpus_msr_326287,This is false news that the Indian media is simply misleading their country and creating hatred. The media should pay attention to the spread of the new ... SHAME. :(,NAG
facebook_corpus_msr_430450,"no permanent enemies, no permanent friends. the interest is permanent!",NAG
facebook_corpus_msr_1804887,"Deepak Kumar Sharma Saab ... All that PM Saab evoked in 2014 ... Kya kya Kia us main ... He is only a BJP activist, nothing else cheez bta do .... but it implements all the bills it opposed before 2014 .. Example - FDI, GST and list is long ...",NAG
facebook_corpus_msr_2111268,The communist parties have killed the lack of opponents to WB in 35 years in power ???? ?,OAG
facebook_corpus_msr_470188,"Why are you against the government&#39;s decisions, its fact is that the cleaning of the black money is taken ... so many discussions on the news channel, individual meetings Why so much effort by the media and that people are scared and provoke",NAG
facebook_corpus_msr_2111389,Rss is the terrorist organization 3 times the ban,OAG
facebook_corpus_msr_405837,"No, acting the same way, be there .. but we will not look at any option !!! 😬😜",NAG
facebook_corpus_msr_482226,Happy Diwali. !! Let&#39;s hope for the next year the health and growth of our Indian economy.,NAG
facebook_corpus_msr_439533,Lolz ... He said he would employ a lot of people in the cybersecurity sector .. are you going to employ illiterates in this profile ... ????,NAG
facebook_corpus_msr_1525131,"So funny stupid ,,,,,,,,,,,",OAG
facebook_corpus_msr_443046,absolutely! the more you dive into the shallow cushion you have.,CAG
facebook_corpus_msr_2111210,"Brown Sahib, members of the left, the media and Hindu-sick Muslims O-Lars hailed &quot;secularism&quot; as a failed slogan. Sick-O-Larism was only a continuation of the British &quot;divide and conquer&quot; policy. This RSS is opposed to &quot;the idea of secularism&quot;, absolutely because it has been used as a dagger at the heart of Hindus, Hinduism and Hindustan.",CAG
facebook_corpus_msr_461000,"Now great above the 20-day moving average, which moving average of the next 50 days 8359",NAG
facebook_corpus_msr_1429853,"It&#39;s good to see when they are not in terror in Pakistan, Africa and India, while they can do it for the development stage.",NAG
facebook_corpus_msr_331246,"First of all, there is no gaurakshak in the assam. The villagers beat these two thieves ... that&#39;s what happens when thieves try to steal the only property of the farmers.",NAG
facebook_corpus_msr_1805375,AAP does not need monsters like you,OAG
facebook_corpus_msr_469159,"For those with more than 2 apartments or 2 lots is legal, the rest must yield the goods to the govt",CAG
facebook_corpus_msr_464500,"Once upon a time there was Bengal / Kolkata, one of the most prosperous states in India. Now he is compared to Bihar / Odisa. Wake up Mitra. Use your knowledge to help Bengal, rather than make a stupid lecture.",NAG
facebook_corpus_msr_322726,"Oh Pak army or should say army hijada pork whose country did not except the corps of his army of demonic cowards during the war of Kargil, army that surrendered before the Indian army in 1971 and East Pakistan became Bangladesh save the school children from ruthless killings and the Indian forces really hit Lahore in 1965 ..",OAG
facebook_corpus_msr_334533,He would be an isolated leader with all the fan changes with the kejriwal.,NAG
facebook_corpus_msr_1723831,We want to get rid of the Indians ...... why do not you hear our cries?,OAG
facebook_corpus_msr_417581,"Only 13% of jio customers have been converted into bonuses, so they have extended the date",NAG
