facebook_corpus_msr_1723796,Well said to the dream .. you have the courage to speak out against Dadagiri Muslims,OAG
facebook_corpus_msr_466073,"In most ATMs of private banks, such as HDFC, ICICI, etc., there is no money. Only a state bank ATM works",NAG
facebook_corpus_msr_1493901,"Now the question is, will Pakistan stick to this?",OAG
facebook_corpus_msr_405512,Pakistan consists of fake Muslims who don’t know the meaning of unity and impose their thoughts on others ..... all the villains gathered there ...,OAG
facebook_corpus_msr_1521685,"We are against cow slaughter, so of course it will stop the production of the skin if this happens.",NAG
facebook_corpus_msr_462570,"I wonder why the educated ambassador struggles to pay with credit / debit in a decent restaurant! I can not imagine that a diplomat of a developed country does not have a card, and he needs cash only for dinner.",CAG
facebook_corpus_msr_465051,How does inflation react to all the upheavals of this demon?,NAG
facebook_corpus_msr_450994,Not a good job ..... it creates a problem in our society,CAG
facebook_corpus_msr_326287,This is false news. Indian media simply mislead their nation and incite hatred. Media should be very careful when distributing news .. FEAR. :(,NAG
facebook_corpus_msr_430450,"no permanent enemies, no permanent friends. Interest is constant!",NAG
facebook_corpus_msr_1804887,"Deepak Kumar Sharma Saab ... chalo aap ki Ye baat ek baar mann li ... Now, what Samab says in 2014 ... Kya Kya Kia is our main ... He is just a member of the BJP, nothing more, ek Cheez BTA Do .... but he implements all the bills against which he spoke before 2014. Example - FDI, GST and the list is long ...",NAG
facebook_corpus_msr_2111268,Communist parties killed the absence of opponents in the WB for 35 years of government ????? ?,OAG
facebook_corpus_msr_470188,"Why do you guys oppose government decisions, his fact is a job of cleaning up black money ... so much discussion on the news channel, face-to-face meetings. Why so much effort is being made by the media and making people fear and provoke",NAG
facebook_corpus_msr_2111389,Rss 3 times prohibits a terrorist organization,OAG
facebook_corpus_msr_405837,There will also be no acting skills ... but we will not see any possibility !!! 😬😜,NAG
facebook_corpus_msr_482226,"Happy Diwali. Next year we wish health, wealth and growth to our Indian economy.",NAG
facebook_corpus_msr_439533,Lolz ... He said he was going to hire a large number of people in the field of cyber security ... you are going to hire illiterate people in this profile .. ????,NAG
facebook_corpus_msr_1525131,"So funny silly ,,,,,,,,",OAG
