facebook_corpus_msr_1723796,"Well, son, you have the courage to oppose Dadagiri to the Muslims",OAG
facebook_corpus_msr_466073,"Most private ATMs such as HDFC, ICICI etc. are cash. Only the ATM of the public bank",NAG
facebook_corpus_msr_1493901,"Now the question is, Pakistan will stick to it?",OAG
facebook_corpus_msr_405512,Pakistan is made up of fake Muslims who are unaware of the importance of unity and impose their thoughts on others. All crooks gathered there ...,OAG
facebook_corpus_msr_1521685,"We are against the slaughter of the cow, so of course the leather production will stop when it happens.",NAG
facebook_corpus_msr_462570,Ask yourself why the trained ambassador in a decent restaurant has to deal with credit / debit! I can not imagine that the diplomat of a developed nation has no card and he only needs cash for dinner.,CAG
facebook_corpus_msr_465051,How does inflation react to all after-effects of the demon ...?,NAG
facebook_corpus_msr_450994,Not a good job ... these Guis create a problem in our society,CAG
facebook_corpus_msr_326287,This is a wrong message. The Indian media are simply fooling their nation and creating hate. The media should be careful while spreading the news .. SHAME. :(,NAG
facebook_corpus_msr_430450,"No permanent enemies, no lasting friends. Interest is permanent!",NAG
facebook_corpus_msr_1804887,"Deepak Kumar Sharma Saab ... chalo aap ki Ye baat ek baar man li ... Well, whatever Saab talked about in 2014 ... Kya kya Kia us main ... He&#39;s just an activist of BJP, nothing else, ek cheez bta do .... but he introduces all the bills that he contradicted before 2014. Example FDI, GST and list is long ...",NAG
facebook_corpus_msr_2111268,Communist parties killed enemies of opponents in WB in 35 years ????? ?,OAG
facebook_corpus_msr_470188,"Why you guys face the modi-govt decisions is the fact that black-black cleanup is being taken ... so many discussions about the news channel, one-on-one talks",NAG
facebook_corpus_msr_2111389,Rss is a 3-time ban terrorist organization,OAG
facebook_corpus_msr_405837,No equal action will be there .. but we will not see an option !!! 😬😜,NAG
facebook_corpus_msr_482226,"Happy Diwali. !! We wish our Indian economy a year of health, prosperity and growth.",NAG
facebook_corpus_msr_439533,Lolz ... He said he would employ a large number of people in cyber security. Will you employ illiterate people in this profile? ????,NAG
facebook_corpus_msr_1525131,"So funny stupid ,,,,,,,,",OAG
facebook_corpus_msr_443046,"absolute! The deeper you dive, the flatter the pillow you have.",CAG
facebook_corpus_msr_2111210,"Brown Sahib, the anti-national left, the media and Muslim Hindu sufferer O-Lars have milked &quot;secularism&quot; for anything worth making out of a failed slogan. The Sick-O Larism was nothing but the continuation of the British policy of &quot;division and rule&quot;. This RSS is against the &quot;idea of secularism&quot;, absolutely because it was used as a dagger in the heart of Hindus, Hinduism and Hindustan.",CAG
facebook_corpus_msr_461000,"Now over 20 days moving average, what next 50 days moving average 8359",NAG
facebook_corpus_msr_1429853,"Good to see if they are not in pak and afgan and in india, so they are suitable for the developmental step",NAG
facebook_corpus_msr_331246,"First of all, there is no Gaurakshak in Assam. The villagers have beaten these two thieves ... These things happen when thieves try to steal the only farmers.",NAG
facebook_corpus_msr_1805375,AAP does not need monsters like you,OAG
facebook_corpus_msr_469159,"For those who have more than 2 dwellings or 2 lands, the legal rest they have to hand over to the government",CAG
facebook_corpus_msr_464500,"Bengal / Calcutta was once the richest state in India. Now it is compared to Bihar / Odisa. Guard mitra on. Use your knowledge to help Bengal, instead of stupid lectures.",NAG
facebook_corpus_msr_322726,"Oh Pak Army or should say, Porki Hijada Army, whose land did not exempt the corpses of their foolish coward army during the Kargil War, an army that subordinated itself to the Indian Army and East Pakistan in 1971, became Bangladesh&#39;s ... rescue schoolchildren from merciless killings and in 1965 Indian troops really reached Lahore.",OAG
facebook_corpus_msr_334533,He would be a single boss with all the supporters who alternate with Kejriwal.,NAG
facebook_corpus_msr_1723831,We want to get rid of your Indians ... why do not you hear our loud cries?,OAG
facebook_corpus_msr_417581,Only 13% of the jio customers have been converted into first-class customers and have therefore extended the date,NAG
facebook_corpus_msr_1990156,"Plundering the mandate of the people, is it democracy?",OAG
facebook_corpus_msr_2032235,"Even in the eyes of the judiciary, he is not the terrorist. He is accused of being a terrorist and deserves to kill someone who has a bad eye on our nation",OAG
facebook_corpus_msr_1723874,"This problem only occurs in India, not in other countries.",CAG
facebook_corpus_msr_416461,POSITIONAL PURCHASE JPASSOCIATE ON EACH DIVISION 13.00-10.50-7.50-5.50 FOR TARGET 36 AND 56 (TIME FRAME 2-3 YEARS),NAG
facebook_corpus_msr_445648,"In governmental agencies, you conduct the online transactions ... Also, all parties should specify their account transaction for the conduct of their elections in RTI.",CAG
facebook_corpus_msr_1805076,Dramebaaj anna kya bjp ki government ai hi lokpal Bill aur lokpal bool gaye baat karne Mae sharm bhi nahi aatee,OAG
facebook_corpus_msr_382223,Unfortunately that wat indian govt is able to do !!!! ... I do not vote for modiji to see such crap ..,CAG
